precinct,pct_obama,pct_romney,total_votes,pct_hisp,county
A008,0.475587703,0.508137432,553,0.041958042,broward
R015,0.475694444,0.520833333,288,0.067903081,broward
X036,0.476190476,0.511463845,567,0.473867596,broward
V006,0.477707006,0.515923567,314,0.228719467,broward
V004,0.478964401,0.521035599,309,0.215798512,broward
F014,0.480392157,0.504901961,408,0.209069494,broward
T023,0.480769231,0.512820513,312,0.258131131,broward
U008,0.481865285,0.502590674,579,0.178343949,broward
T030,0.483271375,0.50929368,269,0.118965517,broward
T015,0.486544672,0.502691066,929,0.23642732,broward
U003,0.490039841,0.5,502,0.172967548,broward
E018,0.490848586,0.503327787,1202,0.097472924,broward
Q041,0.492693111,0.495824635,958,0.109359359,broward
N029,0.493485342,0.504885993,614,0.143824027,broward
E003,0.495159059,0.485477178,723,0.154923216,broward
U006,0.495495495,0.493993994,666,0.144435675,broward
C029,0.495594714,0.495594714,454,0.003676471,broward
T017,0.497975709,0.492577598,741,0.253393665,broward
V010,0.498687664,0.482939633,381,0.24040404,broward
D003,0.503717472,0.485130112,538,0.082373272,broward
N021,0.506097561,0.481707317,328,0.136511376,broward
V028,0.506825939,0.481228669,586,0.194469224,broward
N011,0.508169935,0.486928105,612,0.088332235,broward
E032,0.50877193,0.486842105,456,0.155387355,broward
U001,0.508849558,0.480088496,452,0.220873786,broward
G003,0.509594883,0.475479744,469,0.1660805,broward
V001,0.510638298,0.476595745,235,0.18122449,broward
R007,0.512019231,0.471153846,416,0.085775554,broward
T026,0.513636364,0.486363636,220,0.152128108,broward
Q072,0.514450867,0.479768786,519,0.265329734,broward
N006,0.514705882,0.477941176,272,0.1359447,broward
G015,0.51510989,0.475274725,728,0.212652844,broward
C036,0.516666667,0.466666667,60,0.196687371,broward
E029,0.516666667,0.482051282,780,0.222853087,broward
U002,0.517412935,0.46641791,804,0.239712606,broward
T027,0.517802645,0.467955239,983,0.15392562,broward
X005,0.518453427,0.458699473,569,0.224235561,broward
Q067,0.519607843,0.468137255,408,0.282866999,broward
Y006,0.521008403,0.473389356,357,0.322645291,broward
V035,0.521634615,0.466346154,416,0.267826087,broward
X017,0.522151899,0.46835443,316,0.351451187,broward
X017,0.522151899,0.46835443,316,0.305898491,broward
T003,0.523545706,0.457063712,722,0.219135802,broward
T003,0.523545706,0.457063712,722,0.213501423,broward
T013,0.524752475,0.465346535,202,0.203194321,broward
R058,0.524904215,0.455938697,261,0.091549296,broward
N023,0.52516129,0.464516129,775,0.189593728,broward
J011,0.525252525,0.457912458,297,0.272571429,broward
V037,0.525773196,0.470103093,485,0.308605341,broward
A009,0.526475038,0.459909228,661,0.093298292,broward
A005,0.527419355,0.458064516,620,0.057095344,broward
E021,0.527559055,0.466141732,635,0.206673307,broward
W020,0.527624309,0.46961326,362,0.508394419,broward
C017,0.528301887,0.455974843,318,0.08185654,broward
A020,0.528548124,0.468189233,613,0.177720207,broward
N004,0.528628495,0.463382157,751,0.232992598,broward
E033,0.529411765,0.470588235,408,0.166666667,broward
T014,0.529411765,0.460504202,595,0.173818812,broward
