precinct,pct_trump,pct_clinton,total_votes,pct_hisp,county
156,0.246031746,0.727994228,1386,0.261802575,miami-dade
157,0.325562032,0.631140716,1201,0.252559727,miami-dade
158,0.273381295,0.715827338,278,0.321637427,miami-dade
159,0.112510495,0.861460957,1191,0.262569832,miami-dade
160,0.108280255,0.868789809,785,0.174386921,miami-dade
161,0.087164751,0.891762452,1044,0.247734139,miami-dade
162,0.064202335,0.908560311,1028,0.224040277,miami-dade
163,0.080536913,0.907158837,894,0.150496562,miami-dade
164,0.106019766,0.863432165,1113,0.239453357,miami-dade
165,0.146551724,0.793103448,232,0.296529968,miami-dade
166,0.135802469,0.847736626,243,0.21657754,miami-dade
167,0.318584071,0.634218289,339,0.588621444,miami-dade
168,0.21654373,0.75711275,1898,0.604151223,miami-dade
169,0.133879781,0.849726776,366,0.354207436,miami-dade
170,0.136363636,0.863636364,22,0.193548387,miami-dade
171,0.176470588,0.811764706,85,0.43442623,miami-dade
172,0.054263566,0.937984496,129,0.147540984,miami-dade
173,0.030864198,0.956790123,162,0.049107143,miami-dade
174,0.057692308,0.894230769,104,0.2375,miami-dade
175,0.205741627,0.775119617,209,0.476190476,miami-dade
176,0.169753086,0.799382716,324,0.405088063,miami-dade
177,0.251628664,0.710912052,1228,0.323662153,miami-dade
178,0.070460705,0.901084011,738,0.201269266,miami-dade
179,0.296943231,0.663755459,458,0.283246978,miami-dade
181,0.387254902,0.593137255,204,0.220149254,miami-dade
182,0.15468114,0.826322931,737,0.24975025,miami-dade
184,0.376301438,0.601883986,2017,0.261967584,miami-dade
187,0.10880829,0.865284974,193,0.177165354,miami-dade
191,0.39154161,0.574351978,733,0.630456853,miami-dade
196,0.048904738,0.937850229,1963,0.107715244,miami-dade
198,0.320368475,0.651995906,977,0.766189502,miami-dade
199,0.131805158,0.840974212,698,0.252390057,miami-dade
200,0.368325243,0.594660194,1648,0.786186931,miami-dade
201,0.285071268,0.690922731,1333,0.796425458,miami-dade
202,0.215024121,0.762232943,1451,0.474264706,miami-dade
203,0.036447639,0.945585216,1948,0.056530899,miami-dade
205,0.027494108,0.957580518,1273,0.09701897,miami-dade
206,0.055588063,0.931538912,1709,0.05607064,miami-dade
207,0.133796296,0.843981481,2160,0.237561779,miami-dade
208,0.191555098,0.780123584,1942,0.349716446,miami-dade
209,0.124784854,0.84595525,2324,0.284560144,miami-dade
210,0.118007663,0.853639847,1305,0.235682819,miami-dade
212,0.084745763,0.892460549,1711,0.139391447,miami-dade
213,0.0419652,0.937563971,1954,0.098018401,miami-dade
214,0.046875,0.938476563,2048,0.071255621,miami-dade
215,0.059537572,0.92716763,1730,0.084318962,miami-dade
216,0.038077106,0.948595907,2101,0.072140158,miami-dade
217,0.042857143,0.937267081,1610,0.0674567,miami-dade
218,0.023483366,0.959882583,1022,0.048408488,miami-dade
219,0.054567023,0.941874259,843,0.117402165,miami-dade
221,0.03446227,0.948306595,1683,0.059726255,miami-dade
222,0.029249448,0.960264901,1812,0.041683367,miami-dade
223,0.060702875,0.921405751,1565,0.131132917,miami-dade
224,0.078928823,0.895701198,1419,0.235592439,miami-dade
225,0.054335895,0.927552141,1822,0.163133309,miami-dade
226,0.04688701,0.933128363,1301,0.114803625,miami-dade
227,0.080616479,0.905749852,1687,0.247058824,miami-dade
228,0.046598822,0.936797001,1867,0.139664804,miami-dade
229,0.134422111,0.845477387,1592,0.458333333,miami-dade
230,0.269904009,0.704121965,1771,0.634174312,miami-dade
231,0.340254521,0.629604823,1493,0.683437222,miami-dade
232,0.239014647,0.733688415,1502,0.605412484,miami-dade
233,0.171970624,0.804161567,1634,0.419572108,miami-dade
234,0.084063047,0.900175131,571,0.175644028,miami-dade
235,0.19787234,0.774468085,470,0.557232704,miami-dade
236,0.082733813,0.908273381,1112,0.237147595,miami-dade
237,0.066595059,0.922663802,931,0.186267348,miami-dade
238,0.077726218,0.90487239,862,0.129218107,miami-dade
239,0.070308548,0.909964593,1977,0.105094407,miami-dade
240,0.065670048,0.916177256,1873,0.160148976,miami-dade
241,0.09946714,0.886323268,1689,0.306706858,miami-dade
242,0.079252903,0.906108026,1981,0.214728149,miami-dade
243,0.041791045,0.947761194,670,0.122613065,miami-dade
244,0.068277946,0.909969789,1655,0.25766395,miami-dade
245,0.072344322,0.912087912,1092,0.230017251,miami-dade
246,0.312967581,0.663341646,1604,0.759857904,miami-dade
247,0.234567901,0.74298541,891,0.572318339,miami-dade
248,0.16745283,0.809551887,1696,0.464310707,miami-dade
249,0.085031623,0.901616304,1423,0.239744758,miami-dade
250,0.04459799,0.938442211,1592,0.120633631,miami-dade
251,0.036363636,0.948295455,1760,0.128176796,miami-dade
253,0.055384615,0.937435897,975,0.136297376,miami-dade
254,0.044797688,0.942919075,1384,0.135426009,miami-dade
256,0.111111111,0.871547848,1557,0.186535764,miami-dade
257,0.031393568,0.950995406,1306,0.079883098,miami-dade
258,0.046176046,0.940836941,693,0.131054131,miami-dade
259,0.080284553,0.912601626,984,0.271446863,miami-dade
260,0.063573883,0.929553265,582,0.210526316,miami-dade
261,0.034082669,0.955039884,1379,0.10199456,miami-dade
262,0.081578947,0.907894737,1140,0.185770751,miami-dade
264,0.068155112,0.918918919,851,0.227765727,miami-dade
265,0.164179104,0.776119403,67,0.27173913,miami-dade
266,0.215686275,0.764705882,51,0.337662338,miami-dade
267,0.131256952,0.848720801,899,0.405619597,miami-dade
269,0.047160731,0.932627526,1039,0.087816945,miami-dade
270,0.042682927,0.940243902,1640,0.11622276,miami-dade
272,0.290673928,0.677331518,1469,0.718087506,miami-dade
274,0.143149284,0.842535787,978,0.397400821,miami-dade
275,0.056521739,0.92173913,230,0.21971831,miami-dade
276,0.087719298,0.894736842,1026,0.187421384,miami-dade
278,0.329896907,0.670103093,97,0.764705882,miami-dade
280,0.033566434,0.956643357,715,0.094117647,miami-dade
281,0.312883436,0.668711656,163,0.846385542,miami-dade
282,0.074455206,0.91283293,1652,0.202686685,miami-dade
284,0.33256351,0.633949192,866,0.870277976,miami-dade
285,0.416,0.568,125,0.89,miami-dade
288,0.4,0.6,5,0.6,miami-dade
289,0.571428571,0.428571429,28,0.666666667,miami-dade
291,0.194543298,0.787663108,1686,0.410369775,miami-dade
295,0.043207127,0.946993318,2245,0.078527208,miami-dade
296,0.162522741,0.81443299,1649,0.406238256,miami-dade
297,0.460218409,0.517940718,1923,0.885910653,miami-dade
298,0.486930091,0.469908815,1645,0.631699496,miami-dade
299,0.442141623,0.532815199,1158,0.882840237,miami-dade
300,0.320526894,0.646542261,2733,0.829075115,miami-dade
301,0.618770764,0.359634551,1204,0.690953248,miami-dade
302,0.567505721,0.404271548,1311,0.729290742,miami-dade
303,0.400336417,0.573591253,2378,0.655247586,miami-dade
304,0.263478261,0.708695652,2300,0.809625343,miami-dade
305,0.470486859,0.500646273,2321,0.700500835,miami-dade
306,0.442461538,0.516923077,1625,0.689555126,miami-dade
307,0.589509692,0.38027366,1754,0.676930147,miami-dade
308,0.537121907,0.426214482,1091,0.683979517,miami-dade
309,0.472207232,0.497571506,1853,0.890460646,miami-dade
310,0.562075355,0.405188388,1619,0.831284443,miami-dade
311,0.479771328,0.496042216,2274,0.870447761,miami-dade
312,0.448824343,0.526970954,1446,0.852709588,miami-dade
314,0.68627451,0.300653595,153,0.822727273,miami-dade
315,0.557458958,0.417558887,1401,0.839902676,miami-dade
316,0.580431177,0.392205638,1206,0.841414718,miami-dade
317,0.633333333,0.332407407,1080,0.829065301,miami-dade
318,0.568039391,0.40778872,2234,0.864720653,miami-dade
319,0.617795753,0.3619818,989,0.850105559,miami-dade
320,0.529761905,0.446886447,2184,0.87863464,miami-dade
321,0.424032587,0.551120163,2455,0.878370787,miami-dade
322,0.336460288,0.636647905,1599,0.869951535,miami-dade
323,0.469957082,0.512160229,1398,0.892203035,miami-dade
324,0.484297521,0.496694215,1210,0.907639681,miami-dade
325,0.631460674,0.350561798,890,0.85952381,miami-dade
326,0.611778846,0.378605769,832,0.859202714,miami-dade
327,0.389580974,0.578708947,1766,0.883394834,miami-dade
328,0.563636364,0.419138756,2090,0.863233847,miami-dade
329,0.083333333,0.916666667,12,0.047619048,miami-dade
330,0.493313522,0.472015849,2019,0.893617021,miami-dade
331,0.565551537,0.410488246,2212,0.885881267,miami-dade
332,0.4546851,0.522273425,1302,0.878648233,miami-dade
333,0.506677796,0.476627713,1198,0.878435518,miami-dade
334,0.345238095,0.642857143,84,0.801587302,miami-dade
335,0.428442844,0.548154815,1111,0.803560467,miami-dade
336,0.528795812,0.439790576,573,0.873939394,miami-dade
337,0.515252622,0.464251668,2098,0.863164721,miami-dade
338,0.527389903,0.44575725,931,0.871349096,miami-dade
339,0.473061761,0.50065703,2283,0.874707944,miami-dade
340,0.402831858,0.575221239,2825,0.884436843,miami-dade
341,0,1,5,0.357142857,miami-dade
342,0.503637833,0.463217462,1237,0.87591623,miami-dade
343,0.434804165,0.526028756,2017,0.69715972,miami-dade
344,0.482064191,0.492762744,1589,0.586633663,miami-dade
345,1,0,3,0.5,miami-dade
346,0.501984127,0.458333333,1512,0.555135135,miami-dade
347,0.421052632,0.550239234,1045,0.715061058,miami-dade
