"precinct","total_votes","pct_clinton","pct_trump","pct_hisp","county"
"chautauqua 1",669,0.385650224,0.521674141,0.012232416,"chautauqua_2016_merged.csv"
"chautauqua 2",531,0.290018832,0.63653484,0.002659574,"chautauqua_2016_merged.csv"
"chautauqua 3",618,0.404530744,0.501618123,0.006349206,"chautauqua_2016_merged.csv"
"chautauqua 4",164,0.195121951,0.701219512,0,"chautauqua_2016_merged.csv"
"cherry creek 1",250,0.228,0.708,0.001572327,"chautauqua_2016_merged.csv"
"clymer 1",613,0.161500816,0.763458401,0,"chautauqua_2016_merged.csv"
"dunkirk town 1",279,0.379928315,0.551971326,0.137614679,"chautauqua_2016_merged.csv"
"dunkirk town 2",269,0.412639405,0.501858736,0.056701031,"chautauqua_2016_merged.csv"
"dunkirk ward 1 1",204,0.735294118,0.225490196,0.480549199,"chautauqua_2016_merged.csv"
"dunkirk ward 1 2",501,0.538922156,0.403193613,0.206053551,"chautauqua_2016_merged.csv"
"dunkirk ward 1 3",387,0.483204134,0.441860465,0.058500914,"chautauqua_2016_merged.csv"
"dunkirk ward 2 1",363,0.493112948,0.432506887,0.22406015,"chautauqua_2016_merged.csv"
"dunkirk ward 2 2",805,0.500621118,0.437267081,0.119083969,"chautauqua_2016_merged.csv"
"dunkirk ward 2 3",334,0.392215569,0.520958084,0.060728745,"chautauqua_2016_merged.csv"
"dunkirk ward 3 1",220,0.604545455,0.345454545,0.406679764,"chautauqua_2016_merged.csv"
"dunkirk ward 3 2",254,0.484251969,0.409448819,0.151442308,"chautauqua_2016_merged.csv"
"dunkirk ward 3 3",457,0.43107221,0.514223195,0.144846797,"chautauqua_2016_merged.csv"
"dunkirk ward 4 1",338,0.683431953,0.26035503,0.510869565,"chautauqua_2016_merged.csv"
"dunkirk ward 4 2",316,0.449367089,0.506329114,0.09406953,"chautauqua_2016_merged.csv"
"dunkirk ward 4 3",269,0.416356877,0.475836431,0.090507726,"chautauqua_2016_merged.csv"
"ellery 1",736,0.191576087,0.729619565,0.000993049,"chautauqua_2016_merged.csv"
"ellery 2",646,0.328173375,0.59752322,0,"chautauqua_2016_merged.csv"
"ellery 3",209,0.315789474,0.574162679,0.001811594,"chautauqua_2016_merged.csv"
"ellicott ward 1 1",435,0.337931034,0.597701149,0.008915305,"chautauqua_2016_merged.csv"
"ellicott ward 1 2",460,0.402173913,0.502173913,0.005427408,"chautauqua_2016_merged.csv"
"ellicott ward 2 1",832,0.338942308,0.594951923,0.008517888,"chautauqua_2016_merged.csv"
"ellicott ward 2 2",274,0.288321168,0.675182482,0.002793296,"chautauqua_2016_merged.csv"
"ellicott ward 3 1",534,0.322097378,0.571161049,0.007882883,"chautauqua_2016_merged.csv"
"ellicott ward 3 2",445,0.229213483,0.687640449,0.004862237,"chautauqua_2016_merged.csv"
"ellicott ward 4 1",368,0.293478261,0.605978261,0.003231018,"chautauqua_2016_merged.csv"
"ellicott ward 4 2",31,0.225806452,0.774193548,0,"chautauqua_2016_merged.csv"
"ellicott ward 4 3",663,0.263951735,0.659125189,0.001075269,"chautauqua_2016_merged.csv"
"ellington 1",677,0.192023634,0.745937962,0,"chautauqua_2016_merged.csv"
"french creek 1",405,0.177777778,0.758024691,0,"chautauqua_2016_merged.csv"
"gerry 1",897,0.229654404,0.7090301,0.000766871,"chautauqua_2016_merged.csv"
"hanover 1",578,0.392733564,0.532871972,0.001154734,"chautauqua_2016_merged.csv"
"hanover 2",502,0.362549801,0.545816733,0.005063291,"chautauqua_2016_merged.csv"
"hanover 3",573,0.383944154,0.563699825,0.003370787,"chautauqua_2016_merged.csv"
"hanover 4",640,0.3296875,0.6078125,0.020169851,"chautauqua_2016_merged.csv"
"hanover 5",539,0.283858998,0.647495362,0.010342084,"chautauqua_2016_merged.csv"
"harmony 1",722,0.221606648,0.71468144,0.001230012,"chautauqua_2016_merged.csv"
"harmony 2",218,0.229357798,0.697247706,0,"chautauqua_2016_merged.csv"
"jamestown ward 1 1",290,0.417241379,0.489655172,0.092913386,"chautauqua_2016_merged.csv"
"jamestown ward 1 2",529,0.41020794,0.502835539,0.059023837,"chautauqua_2016_merged.csv"
"jamestown ward 1 3",602,0.426910299,0.481727575,0.01722282,"chautauqua_2016_merged.csv"
"jamestown ward 2 1",285,0.533333333,0.368421053,0.169616519,"chautauqua_2016_merged.csv"
"jamestown ward 2 2",562,0.459074733,0.459074733,0.126482213,"chautauqua_2016_merged.csv"
"jamestown ward 2 3",760,0.453947368,0.443421053,0.032347505,"chautauqua_2016_merged.csv"
"jamestown ward 3 1",449,0.454342984,0.474387528,0.098809524,"chautauqua_2016_merged.csv"
"jamestown ward 3 2",371,0.509433962,0.396226415,0.099664054,"chautauqua_2016_merged.csv"
"jamestown ward 3 3",310,0.441935484,0.5,0.065326633,"chautauqua_2016_merged.csv"
"jamestown ward 3 4",45,0.577777778,0.355555556,0.309210526,"chautauqua_2016_merged.csv"
"jamestown ward 4 1",786,0.423664122,0.484732824,0.044463087,"chautauqua_2016_merged.csv"
"jamestown ward 4 2",764,0.367801047,0.54973822,0.019810508,"chautauqua_2016_merged.csv"
"jamestown ward 4 3",719,0.394993046,0.549374131,0.002006018,"chautauqua_2016_merged.csv"
"jamestown ward 5 1",410,0.497560976,0.436585366,0.0064,"chautauqua_2016_merged.csv"
"jamestown ward 5 2",603,0.421227197,0.479270315,0.01489573,"chautauqua_2016_merged.csv"
"jamestown ward 5 3",780,0.398717949,0.520512821,0.020104895,"chautauqua_2016_merged.csv"
"jamestown ward 6 1",578,0.448096886,0.479238754,0.031354983,"chautauqua_2016_merged.csv"
"jamestown ward 6 2",366,0.398907104,0.510928962,0.064748201,"chautauqua_2016_merged.csv"
"jamestown ward 6 3",599,0.370617696,0.534223706,0.024033438,"chautauqua_2016_merged.csv"
"kiantone 1",746,0.313672922,0.624664879,0,"chautauqua_2016_merged.csv"
"mina 1",521,0.239923225,0.696737044,0,"chautauqua_2016_merged.csv"
"north harmony 1",621,0.323671498,0.599033816,0,"chautauqua_2016_merged.csv"
"north harmony 2",616,0.241883117,0.688311688,0.001210654,"chautauqua_2016_merged.csv"
"poland 1",471,0.214437367,0.6985138,0,"chautauqua_2016_merged.csv"
"poland 2",543,0.17679558,0.729281768,0.00120919,"chautauqua_2016_merged.csv"
"pomfret 1",716,0.412011173,0.508379888,0.002129925,"chautauqua_2016_merged.csv"
"pomfret 2",571,0.548161121,0.355516637,0.021683673,"chautauqua_2016_merged.csv"
"pomfret 3",725,0.511724138,0.413793103,0.008910891,"chautauqua_2016_merged.csv"
"pomfret 4",1067,0.599812559,0.314901593,0.018920813,"chautauqua_2016_merged.csv"
"pomfret 5",725,0.533793103,0.388965517,0.015246637,"chautauqua_2016_merged.csv"
"pomfret 6",304,0.375,0.542763158,0.059615385,"chautauqua_2016_merged.csv"
"pomfret 7",768,0.295572917,0.61328125,0.02954342,"chautauqua_2016_merged.csv"
"pomfret 8",624,0.378205128,0.536858974,0.008083141,"chautauqua_2016_merged.csv"
"portland 1",583,0.317324185,0.612349914,0.014380531,"chautauqua_2016_merged.csv"
"portland 2",495,0.256565657,0.682828283,0.01217862,"chautauqua_2016_merged.csv"
"portland 3",518,0.372586873,0.55019305,0.030624264,"chautauqua_2016_merged.csv"
"ripley 1",493,0.326572008,0.590263692,0,"chautauqua_2016_merged.csv"
"ripley 2",522,0.227969349,0.69348659,0.001197605,"chautauqua_2016_merged.csv"
"sheridan 1",525,0.299047619,0.651428571,0.013647643,"chautauqua_2016_merged.csv"
"sheridan 2",859,0.327124563,0.623981374,0.019417476,"chautauqua_2016_merged.csv"
"sherman 1",265,0.169811321,0.754716981,0,"chautauqua_2016_merged.csv"
"stockton 1",582,0.197594502,0.743986254,0.004689332,"chautauqua_2016_merged.csv"
"stockton 2",426,0.361502347,0.561032864,0,"chautauqua_2016_merged.csv"
"villenova 1",479,0.260960334,0.688935282,0.001424501,"chautauqua_2016_merged.csv"
"westfield 1",775,0.411612903,0.51483871,0.001895735,"chautauqua_2016_merged.csv"
"westfield 2",768,0.315104167,0.608072917,0.01061008,"chautauqua_2016_merged.csv"
"westfield 3",860,0.301162791,0.63255814,0.003303055,"chautauqua_2016_merged.csv"
"afton 1",1194,0.283082077,0.641541039,0.00515168860904408,"chenango_2016_merged.csv"
"bainbridge 1",1308,0.330275229,0.592507645,0.00099601593625498,"chenango_2016_merged.csv"
"columbus 1",372,0.23655914,0.680107527,0.00529100529100529,"chenango_2016_merged.csv"
"coventry 1",748,0.243315508,0.697860963,0.00294985250737463,"chenango_2016_merged.csv"
"german 1",162,0.259259259,0.648148148,0.00420168067226891,"chenango_2016_merged.csv"
"greene 1",1267,0.307813733,0.62667719,0.00107238605898123,"chenango_2016_merged.csv"
"greene 2",1228,0.33713355,0.593648208,0.000558035714285714,"chenango_2016_merged.csv"
"guilford 1",1184,0.307432432,0.608108108,0.0142450142450142,"chenango_2016_merged.csv"
"lincklaen 1",162,0.345679012,0.598765432,0,"chenango_2016_merged.csv"
"mcdonough 1",425,0.268235294,0.642352941,0.0067001675041876,"chenango_2016_merged.csv"
"new berlin 1",937,0.326574173,0.592315902,0.00133333333333333,"chenango_2016_merged.csv"
"north norwich 1",697,0.305595409,0.611190818,0.00186567164179104,"chenango_2016_merged.csv"
"norwich city ward 1",501,0.5249501,0.385229541,0.00268096514745308,"chenango_2016_merged.csv"
"norwich city ward 2",429,0.438228438,0.433566434,0.00151975683890578,"chenango_2016_merged.csv"
"norwich city ward 3",589,0.471986418,0.422750424,0,"chenango_2016_merged.csv"
"norwich city ward 4",298,0.456375839,0.486577181,0,"chenango_2016_merged.csv"
"norwich city ward 5",389,0.431876607,0.470437018,0.00318471337579618,"chenango_2016_merged.csv"
"norwich city ward 6",413,0.409200969,0.457627119,0.00154320987654321,"chenango_2016_merged.csv"
"norwich town 1",881,0.362088536,0.573212259,0.00161420500403551,"chenango_2016_merged.csv"
"norwich town 2",730,0.364383562,0.547945205,0,"chenango_2016_merged.csv"
"otselic 1",380,0.302631579,0.615789474,0.0164203612479475,"chenango_2016_merged.csv"
"oxford 1",997,0.34002006,0.581745236,0.00895316804407714,"chenango_2016_merged.csv"
"oxford 2",643,0.379471229,0.541213064,0.012987012987013,"chenango_2016_merged.csv"
"pharsalia 1",248,0.290322581,0.641129032,0.0106951871657754,"chenango_2016_merged.csv"
"pitcher 1",280,0.239285714,0.696428571,0.00712589073634204,"chenango_2016_merged.csv"
"plymouth 1",724,0.255524862,0.67679558,0.00850661625708885,"chenango_2016_merged.csv"
"preston 1",430,0.365116279,0.551162791,0.00597907324364723,"chenango_2016_merged.csv"
"sherburne 1",800,0.3625,0.5475,0.00160384923817161,"chenango_2016_merged.csv"
"sherburne 2",827,0.328899637,0.607013301,0.00244299674267101,"chenango_2016_merged.csv"
"smithville 1",576,0.276041667,0.631944444,0.00353356890459364,"chenango_2016_merged.csv"
"smyrna 1",500,0.298,0.618,0.00390625,"chenango_2016_merged.csv"
"ALDEN - ED 001",653,0.298621746,0.58805513,0.003397508,"erie_2016_merged.csv"
"ALDEN - ED 002",805,0.211180124,0.714285714,0.001941748,"erie_2016_merged.csv"
"ALDEN - ED 003",814,0.267813268,0.648648649,0.004945598,"erie_2016_merged.csv"
"ALDEN - ED 004",586,0.21331058,0.735494881,0.005427408,"erie_2016_merged.csv"
"ALDEN - ED 005",525,0.234285714,0.706666667,0.008196721,"erie_2016_merged.csv"
"ALDEN - ED 006",570,0.289473684,0.622807018,0.002320186,"erie_2016_merged.csv"
"ALDEN - ED 007",573,0.218150087,0.739965096,0.001290323,"erie_2016_merged.csv"
"AMHERST - ED 001",1035,0.556521739,0.374879227,0.007501875,"erie_2016_merged.csv"
"AMHERST - ED 002",544,0.522058824,0.404411765,0.004076087,"erie_2016_merged.csv"
"AMHERST - ED 003",641,0.561622465,0.358814353,0.010022272,"erie_2016_merged.csv"
"AMHERST - ED 004",705,0.482269504,0.431205674,0.013800425,"erie_2016_merged.csv"
"AMHERST - ED 005",940,0.421276596,0.506382979,0.022918258,"erie_2016_merged.csv"
"AMHERST - ED 006",769,0.504551365,0.427828349,0.003141361,"erie_2016_merged.csv"
"AMHERST - ED 007",644,0.482919255,0.420807453,0.009291521,"erie_2016_merged.csv"
"AMHERST - ED 008",810,0.50617284,0.398765432,0.000978474,"erie_2016_merged.csv"
"AMHERST - ED 009",842,0.605700713,0.330166271,0.001805054,"erie_2016_merged.csv"
"AMHERST - ED 010",930,0.588172043,0.34516129,0,"erie_2016_merged.csv"
"AMHERST - ED 011",796,0.631909548,0.292713568,0.001005025,"erie_2016_merged.csv"
"AMHERST - ED 012",739,0.549391069,0.342354533,0,"erie_2016_merged.csv"
"AMHERST - ED 013",1034,0.590909091,0.323017408,0.003633721,"erie_2016_merged.csv"
