"precinct","total_votes","pct_clinton","pct_trump","pct_hisp"
24001,237,0.658227848101266,0.30379746835443,0.0941385435168739
24002,407,0.702702702702703,0.267813267813268,0.0952380952380952
24003,283,0.632508833922262,0.31095406360424,0.118836915297092
24004,175,0.68,0.297142857142857,0.104925053533191
24005,717,0.670850767085077,0.292887029288703,0.0503663003663004
24006,648,0.628086419753086,0.337962962962963,0.0393700787401575
24007,474,0.677215189873418,0.30379746835443,0.0882352941176471
24008,199,0.85427135678392,0.120603015075377,0.111510791366906
24010,346,0.736994219653179,0.23121387283237,0.0977130977130977
24011,427,0.754098360655738,0.229508196721311,0.0907715582450832
24012,72,0.791666666666667,0.208333333333333,0.138211382113821
24013,478,0.826359832635983,0.148535564853556,0.11854103343465
24014,358,0.726256983240223,0.23463687150838,0.139622641509434
24015,220,0.690909090909091,0.290909090909091,0.0767888307155323
24016,312,0.650641025641026,0.317307692307692,0.0288808664259928
24017,593,0.618887015177066,0.338954468802698,0.0529531568228106
24018,792,0.646464646464647,0.327020202020202,0.0928196147110333
24019,730,0.616438356164384,0.358904109589041,0.0802238805970149
24020,716,0.629888268156425,0.33659217877095,0.0572556762092794
24021,710,0.635211267605634,0.332394366197183,0.0675146771037182
24022,352,0.650568181818182,0.306818181818182,0.0808080808080808
24023,84,0.630952380952381,0.345238095238095,0.0223880597014925
24024,702,0.603988603988604,0.357549857549858,0.0650246305418719
24025,746,0.589812332439678,0.388739946380697,0.0403299725022915
24026,392,0.846938775510204,0.130102040816327,0.230961298377029
24027,656,0.9375,0.0503048780487805,0.111861137897782
24028,520,0.601923076923077,0.371153846153846,0.0848267622461171
24029,732,0.784153005464481,0.195355191256831,0.0679425837320574
24030,739,0.848443843031123,0.13531799729364,0.0891181988742964
24031,335,0.808955223880597,0.173134328358209,0.241176470588235
24032,300,0.48,0.49,0.0432098765432099
24033,622,0.442122186495177,0.522508038585209,0.0146198830409357
24034,358,0.405027932960894,0.558659217877095,0.03125
24035,494,0.720647773279352,0.234817813765182,0.0785276073619632
24036,229,0.864628820960699,0.109170305676856,0.133105802047782
24037,697,0.833572453371593,0.131994261119082,0.125618199802176
24038,17,0.705882352941177,0.294117647058824,0.0277777777777778
24039,99,0.757575757575758,0.202020202020202,0.150837988826816
24040,651,0.847926267281106,0.133640552995392,0.105032822757112
24041,135,0.681481481481481,0.274074074074074,0.135036496350365
24042,314,0.777070063694268,0.203821656050955,0.190812720848057
24043,576,0.888888888888889,0.0902777777777778,0.0818652849740933
24044,470,0.853191489361702,0.129787234042553,0.0930232558139535
24045,474,0.744725738396624,0.227848101265823,0.12189349112426
24046,462,0.803030303030303,0.170995670995671,0.172701949860724
24047,484,0.816115702479339,0.173553719008264,0.100728155339806
24048,193,0.880829015544041,0.10880829015544,0.205787781350482
24049,619,0.744749596122779,0.210016155088853,0.106796116504854
24050,637,0.733124018838305,0.230769230769231,0.142342342342342
24051,703,0.836415362731152,0.150782361308677,0.132805628847845
24052,611,0.793780687397709,0.188216039279869,0.130718954248366
24053,650,0.803076923076923,0.169230769230769,0.142732811140122
24054,739,0.875507442489851,0.110960757780785,0.123572170301142
24055,417,0.935251798561151,0.0455635491606715,0.0537313432835821
24056,28,0.785714285714286,0.214285714285714,0.134615384615385
24057,243,0.893004115226337,0.0905349794238683,0.121134020618557
24058,123,0.878048780487805,0.121951219512195,0.131707317073171
24059,417,0.844124700239808,0.134292565947242,0.250728862973761
24060,137,0.795620437956204,0.182481751824818,0.236666666666667
24061,398,0.703517587939699,0.266331658291457,0.116242038216561
24062,578,0.91522491349481,0.0778546712802768,0.0772151898734177
24063,391,0.918158567774936,0.0818414322250639,0.131994261119082
24064,335,0.859701492537313,0.13134328358209,0.162406015037594
24065,NA,NA,NA,0.24298160696999
24066,NA,NA,NA,0.231896551724138
24067,483,0.79296066252588,0.19047619047619,0.214203894616266
24068,469,0.829424307036247,0.147121535181237,0.270241850683491
24069,367,0.836512261580381,0.128065395095368,0.349683544303797
24070,524,0.797709923664122,0.181297709923664,0.17001675041876
24071,548,0.846715328467153,0.133211678832117,0.171318575553417
24072,544,0.849264705882353,0.139705882352941,0.120996441281139
24073,565,0.858407079646018,0.123893805309735,0.105760963026655
24074,562,0.875444839857651,0.119217081850534,0.0967117988394584
24075,531,0.826741996233522,0.163841807909605,0.0944333996023857
24076,628,0.840764331210191,0.154458598726115,0.0994423791821561
24077,430,0.816279069767442,0.176744186046512,0.156291390728477
24078,658,0.835866261398176,0.115501519756839,0.176088971269694
24079,524,0.860687022900763,0.116412213740458,0.149295774647887
25001,555,0.531531531531532,0.428828828828829,0.0726306465899026
25002,86,0.63953488372093,0.348837209302326,0.173913043478261
25003,566,0.738515901060071,0.238515901060071,0.147379912663755
25004,509,0.695481335952849,0.261296660117878,0.171728971962617
25005,103,0.640776699029126,0.330097087378641,0.0729166666666667
25006,382,0.709424083769634,0.267015706806283,0.145478374836173
25007,676,0.798816568047337,0.162721893491124,0.116801437556155
25008,464,0.607758620689655,0.364224137931034,0.110367892976589
25009,148,0.628378378378378,0.371621621621622,0.0332225913621262
25010,584,0.493150684931507,0.470890410958904,0.0573770491803279
25011,565,0.435398230088496,0.515044247787611,0.03963133640553
25012,651,0.47926267281106,0.47926267281106,0.0469483568075117
25013,460,0.576086956521739,0.391304347826087,0.0458488228004957
25014,455,0.531868131868132,0.43956043956044,0.060179257362356
25015,429,0.599067599067599,0.361305361305361,0.0526315789473684
25016,654,0.602446483180428,0.363914373088685,0.0466853408029879
25017,691,0.67438494934877,0.287988422575977,0.103754940711462
25018,750,0.786666666666667,0.186666666666667,0.0894874022589053
25019,741,0.781376518218624,0.187584345479082,0.0891003460207613
25020,550,0.72,0.256363636363636,0.077615298087739
25021,656,0.660060975609756,0.314024390243902,0.0638297872340425
25022,655,0.723664122137405,0.241221374045802,0.099728014505893
25023,277,0.617328519855596,0.339350180505415,0.0809128630705394
25024,642,0.671339563862928,0.302180685358255,0.0261194029850746
25025,566,0.641342756183746,0.335689045936396,0.0402061855670103
25026,78,0.743589743589744,0.230769230769231,0.0148148148148148
25027,606,0.554455445544555,0.409240924092409,0.0557729941291585
25028,525,0.60952380952381,0.344761904761905,0.0660888407367281
25029,684,0.527777777777778,0.422514619883041,0.0582706766917293
25030,580,0.646551724137931,0.303448275862069,0.0936768149882904
25031,356,0.865168539325843,0.109550561797753,0.0658362989323843
25032,610,0.667213114754098,0.29672131147541,0.0755980861244019
25033,616,0.608766233766234,0.337662337662338,0.0968660968660969
25034,47,0.595744680851064,0.319148936170213,0
25035,393,0.572519083969466,0.402035623409669,0.0675039246467818
25036,612,0.553921568627451,0.398692810457516,0.0843621399176955
25037,619,0.581583198707593,0.384491114701131,0.0396825396825397
25038,465,0.533333333333333,0.436559139784946,0.078546307151231
25039,600,0.565,0.396666666666667,0.0760649087221095
25040,700,0.52,0.43,0.118067978533095
25041,221,0.683257918552036,0.285067873303167,0.151702786377709
25042,592,0.635135135135135,0.337837837837838,0.0665993945509586
25043,574,0.620209059233449,0.346689895470383,0.0534274193548387
25044,587,0.65587734241908,0.315161839863714,0.107732406602954
25045,480,0.710416666666667,0.266666666666667,0.0767841011743451
25046,392,0.660714285714286,0.318877551020408,0.056203605514316
25047,431,0.626450116009281,0.345707656612529,0.0679802955665025
25048,341,0.648093841642229,0.32258064516129,0.100691775557264
25049,362,0.671270718232044,0.281767955801105,0.11240632805995
25050,487,0.702258726899384,0.26694045174538,0.139217470427661
25051,368,0.730978260869565,0.247282608695652,0.0964153275648949
25052,397,0.664987405541562,0.302267002518892,0.0421836228287841
25053,526,0.716730038022814,0.26615969581749,0.0450733752620545
25054,589,0.820033955857385,0.154499151103565,0.190217391304348
25055,499,0.733466933867735,0.250501002004008,0.0860692102928128
25056,482,0.628630705394191,0.336099585062241,0.0668498168498168
25057,293,0.604095563139932,0.36518771331058,0.103825136612022
25058,576,0.586805555555556,0.380208333333333,0.0469798657718121
25059,591,0.673434856175973,0.304568527918782,0.0700575815738964
25060,311,0.517684887459807,0.437299035369775,0.0588235294117647
25061,606,0.595709570957096,0.386138613861386,0.102956167176351
25062,497,0.722334004024145,0.241448692152918,0.148148148148148
25063,543,0.613259668508287,0.34622467771639,0.119853613906679
25064,166,0.740963855421687,0.22289156626506,0.171717171717172
25065,482,0.721991701244813,0.259336099585062,0.125836680053548
25066,63,0.555555555555556,0.380952380952381,0.0229007633587786
26001,253,0.426877470355731,0.545454545454545,0.0837004405286344
26002,103,0.553398058252427,0.398058252427184,0.112676056338028
26003,670,0.546268656716418,0.417910447761194,0.0844036697247706
26004,656,0.44969512195122,0.516768292682927,0.0987202925045704
26005,744,0.46505376344086,0.497311827956989,0.0892226148409894
26006,617,0.470016207455429,0.507293354943274,0.0664451827242525
