"precinct","total_votes","pct_obama","pct_romney","pct_hisp"
65059,570,0.870175438596491,0.112280701754386,0.0332458442694663
65060,295,0.905084745762712,0.0813559322033898,0.0191657271702368
65061,421,0.890736342042755,0.0855106888361045,0.171402383134739
65062,356,0.887640449438202,0.0926966292134832,0.0705741626794258
65063,420,0.814285714285714,0.173809523809524,0.0279329608938547
65064,352,0.815340909090909,0.173295454545455,0.0292164674634794
65065,208,0.8125,0.153846153846154,0.0222772277227723
65066,289,0.788927335640138,0.183391003460208,0.0593824228028504
65067,122,0.934426229508197,0.0573770491803279,0.00591715976331361
65068,642,0.828660436137072,0.152647975077882,0.141242937853107
65069,400,0.8275,0.16,0.0899830220713073
65070,83,0.614457831325301,0.36144578313253,0.0593220338983051
65071,501,0.844311377245509,0.137724550898204,0.0309072781655035
65072,513,0.89083820662768,0.0838206627680312,0.167206040992449
65073,566,0.908127208480565,0.0742049469964664,0.287456445993031
65074,593,0.912310286677909,0.0623946037099494,0.301850048685492
65075,497,0.883299798792757,0.0885311871227364,0.200228832951945
65076,532,0.885338345864662,0.0902255639097744,0.163576881134133
65077,636,0.891509433962264,0.0849056603773585,0.248995983935743
65078,381,0.876640419947507,0.083989501312336,0.0815939278937381
65079,608,0.907894736842105,0.0674342105263158,0.132947976878613
65080,489,0.914110429447853,0.0674846625766871,0.181272509003601
65081,508,0.919291338582677,0.0590551181102362,0.259001161440186
65082,4,0.75,0.25,0
66001,873,0.607101947308133,0.371134020618557,0.0289079229122056
66002,815,0.714110429447853,0.274846625766871,0.0491299897645855
66003,767,0.698826597131682,0.286831812255541,0.0154125113327289
66004,597,0.690117252931323,0.296482412060302,0.0269978401727862
66005,858,0.777389277389277,0.213286713286713,0.0396196513470681
66006,829,0.751507840772014,0.23642943305187,0.0213143872113677
66007,862,0.685614849187935,0.296983758700696,0.0140540540540541
66008,815,0.822085889570552,0.16319018404908,0.0417777777777778
66009,808,0.793316831683168,0.191831683168317,0.0117878192534381
66010,792,0.833333333333333,0.14520202020202,0.0460792239288601
66011,682,0.847507331378299,0.140762463343109,0.0783316378433367
66012,642,0.727414330218069,0.263239875389408,0.0245726495726496
66013,328,0.76219512195122,0.234756097560976,0.0143149284253579
66014,355,0.864788732394366,0.126760563380282,0.0259179265658747
66015,308,0.847402597402597,0.13961038961039,0.0363951473136915
66016,18,0.777777777777778,0.222222222222222,0
66017,20,1,0,0.0731707317073171
66018,778,0.820051413881748,0.167095115681234,0.0210930009587728
66019,700,0.852857142857143,0.132857142857143,0.0564853556485356
66020,521,0.809980806142035,0.153550863723608,0.0665701881331404
66021,507,0.808678500986193,0.175542406311637,0.0461095100864553
66022,833,0.845138055222089,0.138055222088836,0.0357798165137615
66023,386,0.860103626943005,0.116580310880829,0.0278330019880716
66024,472,0.834745762711864,0.139830508474576,0.0214876033057851
66025,490,0.869387755102041,0.112244897959184,0.0208333333333333
66026,86,0.965116279069767,0.0232558139534884,0.13
66027,644,0.916149068322981,0.0574534161490683,0.0792452830188679
66028,780,0.843589743589744,0.128205128205128,0.151332760103181
66029,724,0.846685082872928,0.120165745856354,0.064484126984127
66030,652,0.874233128834356,0.0950920245398773,0.0604395604395604
66031,691,0.839363241678726,0.124457308248915,0.0581395348837209
66032,597,0.88107202680067,0.0904522613065327,0.0449561403508772
66033,345,0.898550724637681,0.0782608695652174,0.0530164533820841
66034,668,0.877245508982036,0.0973053892215569,0.0606060606060606
66035,690,0.891304347826087,0.0739130434782609,0.108791208791209
66036,756,0.850529100529101,0.121693121693122,0.0672897196261682
66037,691,0.871201157742402,0.0897250361794501,0.0494148244473342
66038,658,0.835866261398176,0.142857142857143,0.0212418300653595
66039,828,0.791062801932367,0.183574879227053,0.07421875
66040,146,0.835616438356164,0.136986301369863,0.0803571428571429
66041,677,0.807976366322009,0.17725258493353,0.0553191489361702
66042,114,0.833333333333333,0.140350877192982,0.0416666666666667
66043,392,0.747448979591837,0.224489795918367,0.0561122244488978
66044,500,0.866,0.116,0.0303490136570561
66045,898,0.883073496659243,0.102449888641425,0.0372940156114484
66046,570,0.840350877192982,0.131578947368421,0.0642317380352645
66047,574,0.869337979094077,0.114982578397213,0.0366161616161616
66048,797,0.787954830614806,0.194479297365119,0.0147058823529412
66049,668,0.833832335329341,0.154191616766467,0.0235162374020157
66050,464,0.849137931034483,0.129310344827586,0.0157618213660245
66051,823,0.860267314702309,0.131227217496962,0.0230414746543779
66052,584,0.866438356164384,0.125,0.0136986301369863
66053,724,0.792817679558011,0.193370165745856,0.0180467091295117
66054,670,0.846268656716418,0.138805970149254,0.0374115267947422
66055,787,0.813214739517154,0.1715374841169,0.0169971671388102
66056,120,0.825,0.166666666666667,0.0216216216216216
66057,663,0.773755656108597,0.214177978883861,0.0250941028858218
66058,302,0.788079470198676,0.198675496688742,0.0173697270471464
66059,642,0.886292834890966,0.104361370716511,0.0216867469879518
66060,676,0.862426035502959,0.125739644970414,0.0274463007159905
66061,704,0.833806818181818,0.159090909090909,0.0320855614973262
66062,436,0.802752293577982,0.190366972477064,0.0317460317460317
66063,664,0.867469879518072,0.103915662650602,0.0357142857142857
66064,725,0.808275862068966,0.176551724137931,0.0333333333333333
66065,200,0.785,0.155,0.0276923076923077
66066,631,0.835182250396197,0.13946117274168,0.0368364030335861
66067,681,0.787077826725404,0.185022026431718,0.0506863780359029
66068,554,0.808664259927798,0.180505415162455,0.0361596009975062
66069,770,0.802597402597403,0.180519480519481,0.053554040895813
66070,166,0.614457831325301,0.36144578313253,0.0239234449760766
66071,355,0.859154929577465,0.11830985915493,0.0152091254752852
66072,599,0.836393989983305,0.143572621035058,0.0371660859465738
66073,750,0.782666666666667,0.194666666666667,0.0414827890556046
66074,573,0.867364746945899,0.111692844677138,0.0259067357512953
66075,634,0.83596214511041,0.141955835962145,0.0403940886699507
66076,807,0.853779429987608,0.12639405204461,0.0449859418931584
66077,796,0.834170854271357,0.150753768844221,0.0246062992125984
66078,761,0.864651773981603,0.116951379763469,0.0281081081081081
66079,812,0.864532019704433,0.116995073891626,0.0307835820895522
66080,698,0.858166189111748,0.121776504297994,0.0202286719437115
66081,824,0.842233009708738,0.146844660194175,0.0287474332648871
66082,608,0.804276315789474,0.184210526315789,0.021953896816685
66083,553,0.835443037974684,0.148282097649186,0.0524967989756722
66084,783,0.890166028097063,0.100893997445722,0.0341959334565619
